No.,URL,観光地名,最初の画像のURL,緯度,経度,エリア名,カテゴリー,条件,タグ,季節情報,開催期間,基本情報の備考欄,分類
46,https://niigata-kankou.or.jp/spot/41337,かのせ温泉 赤湯,https://niigata-kankou.or.jp/image/rendering/attraction_image/14128/trim.900/3/2?v=35426bf333486ed38d4eacc993173cfe2c06fdc7,37.708501253398936,139.46519737020782,新潟・阿賀エリア,"日帰り温泉, 温泉・宿・サウナ, 温泉地, 山・谷","夫婦, 女性, ファミリー","かのせ温泉, 赤湯, 角神, 阿賀町, 日帰り入浴, 日帰り温泉, キャンプ場, コテージ, ハイキング, 赤崎山, 角神ダム, 鹿瀬ダム, バーベキュー",情報がありません,情報がありません,"施設となりには「角神湖畔青少年旅行村」があり、キャンプ・バンガロー利用や雨でも安心なバーベキュー施設もあります。_x000D_
温泉付きのバンガローもあり、大変人気です。_x000D_
※予約は「かのせ温泉赤湯」で承ります（電話0254-92-4186）",温泉・サウナ
51,https://niigata-kankou.or.jp/spot/5714,加茂山公園,https://niigata-kankou.or.jp/image/rendering/attraction_image/1535/trim.900/3/2?v=9bcaa168b5e310e96ea198861fff0cd18011c614,37.6559098,139.05252530000007,弥彦・燕三条エリア,"公園, 動植物園・水族館, 新潟県の桜・お花見ガイド, 新潟県のユキツバキ・開花情報, 新潟県の紅葉スポット",ユニバーサルデザイン情報有,情報なし,"新潟県の桜・お花見ガイドの最新状況: 終わり
新潟県の桜・お花見ガイドのシーズン: 4月上旬～4月中旬
新潟県のユキツバキ・開花情報の最新状況: 終わり
新潟県のユキツバキ・開花情報のシーズン: 4月上旬～4月中旬
新潟県の紅葉スポットの最新状況: 見頃
新潟県の紅葉スポットのシーズン: 10月下旬～11月中旬",情報がありません,情報がありません,動植物園・水族館
55,https://niigata-kankou.or.jp/spot/7109,カーブドッチワイナリー,https://niigata-kankou.or.jp/image/rendering/attraction_image/14095/trim.900/3/2?v=489b1b290debe0ea6bda64d74c463c9d0e3e6ca4,37.803036,138.846653,新潟・阿賀エリア,"ガストロノミー, 酒蔵見学",情報なし,情報なし,情報がありません,情報がありません,情報がありません,酒蔵見学
56,https://niigata-kankou.or.jp/spot/11333,白根温泉・関根旅館,https://niigata-kankou.or.jp/image/rendering/attraction_image/44064/trim.900/3/2?v=64432d5fa6082e029b6fbcfa9c8cc4cf4c5c3d07,37.788938,139.035381,新潟・阿賀エリア,"温泉地, 日帰り温泉, 温泉宿泊施設",情報なし,白根温泉,情報がありません,情報がありません,情報がありません,温泉・サウナ
61,https://niigata-kankou.or.jp/spot/10717,奥只見丸山スキー場,https://niigata-kankou.or.jp/image/rendering/attraction_image/37142/trim.900/3/2?v=d80e8a832652069bf2b4e0cfd61a71b7f085ff08,37.16000089,139.2393272,湯沢・魚沼エリア,スキー・スノーアクティビティ,情報なし,"スキー場, 春スキー, GWもスキーを楽しむ",情報がありません,"2023年11月25日（土曜日）オープン予定_x000D_
2024年1月3日（水曜日）クローズ予定_x000D_
【春スキーシーズン】_x000D_
2024年3月23日（土曜日）オープン予定_x000D_
2024年5月6日（月曜日）クローズ予定",情報がありません,スキー・スノーアクティビティ
70,https://niigata-kankou.or.jp/spot/5678,佐藤りんご園,https://niigata-kankou.or.jp/image/rendering/attraction_image/8625/trim.900/3/2?v=e5e4b744a4ef948423ab48a5fefe40ed75a83211,37.6946591,139.1978797,新潟・阿賀エリア,フルーツ・野菜収穫,"夫婦, 女性, ファミリー","味覚狩り, りんご狩り",情報がありません,2023年10月上旬～11月下旬,情報がありません,フルーツ・野菜収穫
72,https://niigata-kankou.or.jp/spot/10682,かぐらスキー場（かぐら・みつまたエリア）,https://niigata-kankou.or.jp/image/rendering/attraction_image/7778/trim.900/3/2?v=a2dea49a7259a60bc2c3ee84fcd63c2a07c17cca,36.8929173,138.7755863,湯沢・魚沼エリア,スキー・スノーアクティビティ,"カード対応可, ファミリー",情報なし,情報がありません,"2023年11月23日（木曜日） オープン予定_x000D_
2024年5月19日（日曜日）クローズ予定",情報がありません,スキー・スノーアクティビティ
82,https://niigata-kankou.or.jp/spot/10725,冬鳥越スキーガーデン,https://niigata-kankou.or.jp/image/rendering/attraction_image/131862/trim.900/3/2?v=937f67063a389449cca24e095ab99d52162dc464,37.64093754,139.1181856,弥彦・燕三条エリア,スキー・スノーアクティビティ,情報なし,情報なし,情報がありません,"2023年12月下旬オープン予定_x000D_
2024年3月中旬クローズ予定",情報がありません,スキー・スノーアクティビティ
85,https://niigata-kankou.or.jp/spot/13729,魚沼の里,https://niigata-kankou.or.jp/image/rendering/attraction_image/3880/trim.900/3/2?v=3b133d45d0a9962a7cd4c048d16aa8152dae7179,37.10857306,138.9321506,湯沢・魚沼エリア,"地酒・地ビール・ワイン,体験,ショッピング,庭園,自然体験,新潟県の菜の花,花・木,食,ご当地グルメ・郷土料理,スイーツ,農家レストラン,歴史・文化,神社仏閣,酒蔵見学,自然・景観,おみやげ","カード対応可, ユニバーサルデザイン情報有, おむつ交換場所有",情報なし,情報がありません,情報がありません,情報がありません,酒蔵見学
86,https://niigata-kankou.or.jp/spot/8914,佐渡西三川ゴールドパーク,https://niigata-kankou.or.jp/image/rendering/attraction_image/123327/trim.900/3/2?v=035d580958c3a4634303c8d454b6062bc25f1c08,37.8980307,138.29598940000005,佐渡エリア,"体験,おみやげ,観光施設,歴史・文化,史跡・文化財",情報なし,情報なし,情報がありません,情報がありません,情報がありません,観光施設
91,https://niigata-kankou.or.jp/spot/7001,道の駅 「豊栄」（国道7号線）,https://niigata-kankou.or.jp/image/rendering/attraction_image/1821/trim.900/3/2?v=904f60ddf34dfa7105f5798709841d520d1d881c,37.959222,139.223471,新潟・阿賀エリア,"道の駅, 動植物園・水族館, おみやげ",ユニバーサルデザイン情報有,情報なし,情報がありません,情報がありません,"●情報ターミナル_x000D_
無線LAN接続、無料提供あり。",動植物園・水族館
96,https://niigata-kankou.or.jp/spot/10708,胎内スキー場,https://niigata-kankou.or.jp/image/rendering/attraction_image/3355/trim.900/3/2?v=dead1b0cd39e306a9de3415339a1f9a9c1ce5787,38.01671,139.50232,村上・新発田エリア,スキー・スノーアクティビティ,情報なし,情報なし,情報がありません,"2023年12月23日（土曜日） オープン予定_x000D_
2024年3月10日（日曜日）クローズ予定","※先般の大雪の影響によりゲレンデ内にて_x000D_
倒木やその恐れがある箇所が多くあるため、順次、障害物撤去復旧作業を行ってますが安全管理上コースを限定しての営業となります。ご了承願います。

_x000D_
----------------------------------------------------------------------------------------

_x000D_
日東道中条ICから車で25分で行けるアクセス良好なスキー場。_x000D_
毎週日曜は小学生以下のリフト料金が無料に。_x000D_
県下最大級のスノーエスカレーターを備えた子ども連れにおすすめのスポット。",スキー・スノーアクティビティ
105,https://niigata-kankou.or.jp/spot/10680,苗場スキー場,https://niigata-kankou.or.jp/image/rendering/attraction_image/128503/trim.900/3/2?v=c22320bb085ff002142afeac4d5e341d9446d6a1,36.79212000881641,138.7780579989502,湯沢・魚沼エリア,スキー・スノーアクティビティ,"夫婦, 女性, ファミリー, 授乳室有",情報なし,情報がありません,"2023年12月16日（土曜日） オープン予定_x000D_
2024年4月7日（日曜日）クローズ予定",情報がありません,スキー・スノーアクティビティ
106,https://niigata-kankou.or.jp/spot/41893,長岡市トキと自然の学習館　トキみ～て,https://niigata-kankou.or.jp/image/rendering/attraction_image/151520/trim.900/3/2?v=d00f2c83ace12fa70254b2163ae03a38820f68fa,37.60858148504333,138.77244055344238,長岡・柏崎エリア,観光施設,情報なし,情報なし,情報がありません,情報がありません,情報がありません,観光施設
107,https://niigata-kankou.or.jp/spot/8481,上越市立水族博物館 うみがたり,https://niigata-kankou.or.jp/image/rendering/attraction_image/137522/trim.900/3/2?v=f4b7c0e90fc74f9a4449f33e4de03ff700cde815,37.17354166196929,138.23298240740974,妙高・上越・糸魚川エリア,動植物園・水族館,情報なし,情報なし,情報がありません,情報がありません,情報がありません,動植物園・水族館
114,https://niigata-kankou.or.jp/spot/10707,なかさと清津スキー場,https://niigata-kankou.or.jp/image/rendering/attraction_image/162029/trim.900/3/2?v=7d73b15493d67cdd736f3378654b210e71eb8564,37.0243445,138.7276784,湯沢・魚沼エリア,スキー・スノーアクティビティ,情報なし,情報なし,情報がありません,【2023-2024シーズン営業休止】,"●設備　_x000D_
　レストラン、売店、レンタル、更衣室（パウダールーム、シャワー完備）、コインロッカー、トイレ_x000D_
 ●コース_x000D_
  清津ブナ平コース(初級～中級)、清津白樺コース(中級～上級)、_x000D_
  清津から松コース(中級～上級)、アドベンチャーコース_x000D_
 ●コースプロフィール_x000D_
　最長滑走距離　1,800ｍ_x000D_
　最大斜度　　　24度_x000D_
　標高差　　　　272ｍ",スキー・スノーアクティビティ
115,https://niigata-kankou.or.jp/spot/10699,シャトー塩沢スキー場,https://niigata-kankou.or.jp/image/rendering/attraction_image/40359/trim.900/3/2?v=ab464c894db87c1dfc445914925444a60821040c,37.048179,138.829041,湯沢・魚沼エリア,スキー・スノーアクティビティ,託児所有,情報なし,情報がありません,"2023年12月26日（火曜日） オープン予定_x000D_
2024年3月27日（水曜日）クローズ予定",情報がありません,スキー・スノーアクティビティ
119,https://niigata-kankou.or.jp/spot/10200,山古志アルパカ牧場,https://niigata-kankou.or.jp/image/rendering/attraction_image/153509/trim.900/3/2?v=77c6087028cf6380a4ab9e3fc437964895dee690,37.32981999328696,138.8886313164635,長岡・柏崎エリア,"動植物園・水族館, 遊ぶ",情報なし,情報なし,情報がありません,情報がありません,"※地図の位置は「油夫牧場」を表示しています。_x000D_
※簡単なお問い合わせは、山古志観光協会（0258-59-2343）でも対応可能です。",動植物園・水族館
133,https://niigata-kankou.or.jp/spot/10704,上越国際スキー場 あてまゲレンデ,https://niigata-kankou.or.jp/image/rendering/attraction_image/162013/trim.900/3/2?v=ddf66f5523c0e3a8f2667e0a57b22444dbb8a514,37.044678786559,138.76394636885,湯沢・魚沼エリア,スキー・スノーアクティビティ,情報なし,情報なし,情報がありません,"2023年12月28日（木曜日） オープン予定_x000D_
2024年3月24日（日曜日）クローズ予定","スキー場オープン期間中_x000D_
025-758-3291_x000D_
ホテルグリーンプラザ上越_x000D_
025-782-1030
_x000D_
●スキー/ボード/ブーツ/ウェアー レンタル有り",スキー・スノーアクティビティ
143,https://niigata-kankou.or.jp/spot/10702,五日町スキー場,https://niigata-kankou.or.jp/image/rendering/attraction_image/14097/trim.900/3/2?v=a757de793f8aa2593ed8233f7cfd6851a02d7c9c,37.1216545,138.8992698,湯沢・魚沼エリア,スキー・スノーアクティビティ,情報なし,情報なし,情報がありません,【2023-2024シーズン営業休止】,情報がありません,スキー・スノーアクティビティ
144,https://niigata-kankou.or.jp/spot/10692,GALA湯沢スキー場,https://niigata-kankou.or.jp/image/rendering/attraction_image/3330/trim.900/3/2?v=1f270115c32bdb0b0ba0c59fe9b73ae50253f2b5,36.95049596232775,138.7995978610404,湯沢・魚沼エリア,スキー・スノーアクティビティ,"夫婦, 女性, ファミリー, カード対応可, 託児所有, おむつ交換場所有, 授乳室有",情報なし,情報がありません,"2023年12月16日（土曜日） オープン予定_x000D_
2024年5月6日（月曜日）クローズ予定",情報がありません,スキー・スノーアクティビティ
145,https://niigata-kankou.or.jp/spot/10693,石打丸山スキー場,https://niigata-kankou.or.jp/image/rendering/attraction_image/16337/trim.900/3/2?v=d3325b438790330f31495de89a72da351d0b7c6a,36.976411,138.794532,湯沢・魚沼エリア,スキー・スノーアクティビティ,情報なし,情報なし,情報がありません,"2023年12月15日（金曜日）オープン予定_x000D_
2024年4月7日（日曜日）クローズ予定",情報がありません,スキー・スノーアクティビティ
150,https://niigata-kankou.or.jp/spot/15500,アライスノーリゾート,https://niigata-kankou.or.jp/image/rendering/attraction_image/13610/trim.900/3/2?v=76133a9c30ec2e291208675331720cd239a2ee0c,36.990878,138.181347,妙高・上越・糸魚川エリア,"スキー・スノーアクティビティ, 遊ぶ",情報なし,情報なし,情報がありません,"2023年12月15日（金曜日） オープン予定_x000D_
2024年5月12日（日曜日）クローズ予定",情報がありません,スキー・スノーアクティビティ
153,https://niigata-kankou.or.jp/spot/7022,大洋酒造（株）／「大洋盛」　常設展示場「和水蔵（なごみぐら）」,https://niigata-kankou.or.jp/image/rendering/attraction_image/1902/trim.900/3/2?v=4afe7694341610213d6c3da759694b3e028fc216,38.219655,139.476542,村上・新発田エリア,"酒蔵見学, 地酒・地ビール・ワイン",情報なし,情報なし,情報がありません,情報がありません,情報がありません,酒蔵見学
157,https://niigata-kankou.or.jp/spot/8496,妙高サンシャインランド,https://niigata-kankou.or.jp/image/rendering/attraction_image/143362/trim.900/3/2?v=bebefbac6e20d001b387d4cf2bd14bcb71697b9b,36.94895486276688,138.21181968074268,妙高・上越・糸魚川エリア,遊ぶ,情報なし,遊園地,情報がありません,情報がありません,情報がありません,観光施設
161,https://niigata-kankou.or.jp/spot/7429,宝山酒造（株）／「宝山」,https://niigata-kankou.or.jp/image/rendering/attraction_image/2267/trim.900/3/2?v=cf720f6b5b9fd60b11acaf7a0f3b8ed64a0f5a82,37.72460157,138.8388453,新潟・阿賀エリア,酒蔵見学,"夫婦, 女性",情報なし,情報がありません,通年,情報がありません,酒蔵見学
162,https://niigata-kankou.or.jp/spot/10722,三川温泉スキー場,https://niigata-kankou.or.jp/image/rendering/attraction_image/13880/trim.900/3/2?v=18298ac442774d3ac89b0dd0dd32c459a0ba64ee,37.719405,139.389811,新潟・阿賀エリア,スキー・スノーアクティビティ,託児所有,情報なし,情報がありません,"2023年12月23日（土曜日） オープン予定_x000D_
2024年3月3日（日曜日）クローズ予定",情報がありません,スキー・スノーアクティビティ
163,https://niigata-kankou.or.jp/spot/10675,妙高スキーパーク,https://niigata-kankou.or.jp/image/rendering/attraction_image/10263/trim.900/3/2?v=d05973b85c426fcd695df4ac95492f079c11f3e0,36.91246079,138.1764654,妙高・上越・糸魚川エリア,スキー・スノーアクティビティ,情報なし,情報なし,情報がありません,2022-2023シーズン営業休止,情報がありません,スキー・スノーアクティビティ
164,https://niigata-kankou.or.jp/spot/10711,キューピットバレイスキー場,https://niigata-kankou.or.jp/image/rendering/attraction_image/161065/trim.900/3/2?v=557029f06cedc3211d6779342f0c4e40230ba093,37.05501864864673,138.4845176592121,妙高・上越・糸魚川エリア,スキー・スノーアクティビティ,情報なし,情報なし,情報がありません,"2023年12月16日（土）オープン予定_x000D_
2024年3月17日（日）クローズ予定_x000D_
※2024年1月9日（火）および2024年3月11日（月）～3月15日（金）はクローズ","前売券は2023年10月1日から販売。_x000D_
「超早割」は2023年11月19日まで。「早割」は2023年12月10日まで。_x000D_
出張販売も実施。詳しくはキューピットバレイホームページへ。",スキー・スノーアクティビティ
167,https://niigata-kankou.or.jp/spot/11593,岩室温泉,https://niigata-kankou.or.jp/image/rendering/attraction_image/139778/trim.900/3/2?v=2dab14eef50b7068aeec49343c6ff1283ff0371e,37.73351292,138.8367133,新潟・阿賀エリア,温泉地,情報なし,情報なし,情報がありません,情報がありません,"●泉質：含硫黄-ナトリウム・カルシウム-塩化物泉（高張性 弱アルカリ性 高温泉）_x000D_
●主な効能：神経痛、筋肉痛、関節痛、慢性消化器病、冷え性、疲労回復、健康増進、きりきず、慢性皮膚病など",温泉・サウナ
171,https://niigata-kankou.or.jp/spot/10712,金谷山スキー場,https://niigata-kankou.or.jp/image/rendering/attraction_image/36331/trim.900/3/2?v=0596091ed81034bec002e755040d8539e0e43af6,37.103397,138.22519,妙高・上越・糸魚川エリア,スキー・スノーアクティビティ,情報なし,情報なし,情報がありません,"2024年1月中旬オープン予定_x000D_
2024年3月中旬クローズ予定",情報がありません,スキー・スノーアクティビティ
173,https://niigata-kankou.or.jp/spot/10698,上越国際スキー場,https://niigata-kankou.or.jp/image/rendering/attraction_image/7854/trim.900/3/2?v=245258e9534dce61a968df83e424b59e1c7f4fd1,37.030231,138.826246,湯沢・魚沼エリア,スキー・スノーアクティビティ,託児所有,子どもが遊べる,情報がありません,"2023年12月２日（土曜日）オープン予定_x000D_
2024年4月7日（日曜日）クローズ予定",情報がありません,スキー・スノーアクティビティ
175,https://niigata-kankou.or.jp/spot/6096,小千谷市錦鯉の里,https://niigata-kankou.or.jp/image/rendering/attraction_image/13278/trim.900/3/2?v=4c302e0256d7638c54f1b92f9a8903e3e8bb86b7,37.31118134956955,138.79529313839726,長岡・柏崎エリア,動植物園・水族館,"ユニバーサルデザイン情報有, 夫婦, 女性, ファミリー",情報なし,情報がありません,情報がありません,情報がありません,動植物園・水族館
179,https://niigata-kankou.or.jp/spot/11332,共同浴場薬師の湯,https://niigata-kankou.or.jp/image/rendering/attraction_image/22148/trim.900/3/2?v=86a64d8a4dc32c758d60e124db9ff1159913c6f8,37.80263,139.292178,新潟・阿賀エリア,"温泉・サウナ,スパ・足湯",ユニバーサルデザイン情報有,情報なし,情報がありません,情報がありません,"●泉質：単純温泉
●効能：神経痛、婦人病など

【日帰り入浴料金】
●大人：250円
●小人(小学生以下)：150円",温泉・サウナ
180,https://niigata-kankou.or.jp/spot/10721,とちおファミリースキー場,https://niigata-kankou.or.jp/image/rendering/attraction_image/153445/trim.900/3/2?v=f67fa80aec817cb71d323a6bb509a1ac9b7462ab,37.43771209,139.0394936,長岡・柏崎エリア,スキー・スノーアクティビティ,情報なし,情報なし,情報がありません,"2023年12月23日（土曜日） オープン予定_x000D_
2024年3月3日（日曜日）クローズ予定",※マスク、フェイスマスクなどを着用してご来場ください。,スキー・スノーアクティビティ
181,https://niigata-kankou.or.jp/spot/10691,湯沢高原スキー場,https://niigata-kankou.or.jp/image/rendering/attraction_image/3329/trim.900/3/2?v=3f347eaa34084aa2b34a9cb4e5e38ed703a2896e,36.94008966231302,138.8040592553441,湯沢・魚沼エリア,スキー・スノーアクティビティ,"カード対応可, 夫婦, 女性, ファミリー",情報なし,情報がありません,"2023年12月16日（土曜日） オープン予定_x000D_
2024年4月7日（日曜日）クローズ予定",情報がありません,スキー・スノーアクティビティ
184,https://niigata-kankou.or.jp/spot/8480,上越科学館,https://niigata-kankou.or.jp/image/rendering/attraction_image/146670/trim.900/3/2?v=7d446710ddd8820ad61da55a730d91a4080757da,37.153718644633166,138.2522229011887,妙高・上越・糸魚川エリア,"観光施設,体験,遊び,美術館・博物館",情報なし,情報なし,情報がありません,情報がありません,情報がありません,観光施設
185,https://niigata-kankou.or.jp/spot/5869,悠久山公園,https://niigata-kankou.or.jp/image/rendering/attraction_image/137789/trim.900/3/2?v=b04b0c75a290bf3c5d1093688a9f748c3fce87b7,37.43147606243622,138.88150604229736,長岡・柏崎エリア,"公園, 動植物園・水族館, 自然・景観, 神社仏閣, 新潟県の桜・お花見ガイド","夫婦, 女性, ファミリー","悠久山, 動物, 史料館, 蒼柴神社, 花","新潟県の桜・お花見ガイドの最新状況: 葉桜
新潟県の桜・お花見ガイドのシーズン: 4月中旬～ 5月上旬",情報がありません,"自由広場（130m×70m）_x000D_
カマド（6箇所）※無料ですが許可が必要です_x000D_
トイレ8箇所（うち身障者用3基）_x000D_
菖蒲園_x000D_
子供の遊び場（ブランコ、大型滑り台、アスレチック遊具等）_x000D_
泉翠池、瓢箪池",動植物園・水族館
192,https://niigata-kankou.or.jp/spot/11657,佐渡八幡温泉,https://niigata-kankou.or.jp/image/rendering/attraction_image/10495/trim.900/3/2?v=7c6786ec3fa86370e28f9d1adf5605e95deec7a9,37.986794,138.345358,佐渡エリア,"温泉地, 温泉宿泊施設","カード対応可, ユニバーサルデザイン情報有",情報なし,情報がありません,情報がありません,情報がありません,温泉・サウナ
193,https://niigata-kankou.or.jp/spot/10696,石打花岡スキー場,https://niigata-kankou.or.jp/image/rendering/attraction_image/13614/trim.900/3/2?v=816f1ade3fd4a762b350ba7c2ba11c13806fe037,36.990758,138.799092,湯沢・魚沼エリア,スキー・スノーアクティビティ,情報なし,情報なし,情報がありません,【2023-2024シーズン営業休止】,情報がありません,スキー・スノーアクティビティ
194,https://niigata-kankou.or.jp/spot/41480,にしかん観光周遊ぐる～んバス,https://niigata-kankou.or.jp/image/rendering/attraction_image/19530/trim.900/3/2?v=ce3d23056a20c83a58661961230c1999ca9e16ad,37.7415179,138.83930850000001,新潟・阿賀エリア,"バス, 観光施設, 温泉・宿・サウナ, 巡る, 観光バス, 産業観光, 自然体験","夫婦, 女性, ファミリー",日本海美食旅,情報がありません,"2023年4月29日（土曜・祝日）～　10月29日（日曜日）　８月も運行します。
",情報がありません,観光施設
194,https://niigata-kankou.or.jp/spot/41480,にしかん観光周遊ぐる～んバス,https://niigata-kankou.or.jp/image/rendering/attraction_image/19530/trim.900/3/2?v=ce3d23056a20c83a58661961230c1999ca9e16ad,37.7415179,138.83930850000001,新潟・阿賀エリア,"バス, 観光施設, 温泉・宿・サウナ, 巡る, 観光バス, 産業観光, 自然体験","夫婦, 女性, ファミリー",日本海美食旅,情報がありません,"2023年4月29日（土曜・祝日）～　10月29日（日曜日）　８月も運行します。
",情報がありません,温泉・サウナ
195,https://niigata-kankou.or.jp/spot/5599,今代司酒造（株）／「今代司」,https://niigata-kankou.or.jp/image/rendering/attraction_image/7802/trim.900/3/2?v=47849d02f268c618a7f19fd9f14646b4b07fe5a4,37.91588242,139.0718137,新潟・阿賀エリア,"酒蔵見学, グルメ・ガストロノミー, 地酒・地ビール・ワイン",情報なし,日本海美食旅,情報がありません,通年,情報がありません,酒蔵見学
200,https://niigata-kankou.or.jp/spot/7024,菊水酒造（株）/菊水日本酒文化研究所・菊水ショップ・菊水庭園,https://niigata-kankou.or.jp/image/rendering/attraction_image/22408/trim.900/3/2?v=b1770776578c19cbe747fdd5fc69f81d03be5f6d,37.961033,139.354212,村上・新発田エリア,"見る, 酒蔵見学, 地酒・地ビール・ワイン",情報なし,情報なし,情報がありません,情報がありません,情報がありません,酒蔵見学
202,https://niigata-kankou.or.jp/spot/31074,赤倉・池の平・杉野沢の各温泉地を結ぶバス。,https://niigata-kankou.or.jp/image/rendering/attraction_image/13689/trim.900/3/2?v=9b9741fd644e5f9e3a8fc54b6beea30d61336a11,36.89146909999999,138.17744259999995,妙高・上越・糸魚川エリア,"バス, 温泉地, 道の駅, 食べる, 観光バス",情報なし,"温泉, 食事, 買い物",情報がありません,運行期間：2020年12月26日（土）～2021年3月14日（日）の間　毎日運行,情報がありません,温泉・サウナ
204,https://niigata-kankou.or.jp/spot/10723,ニノックススノーパーク,https://niigata-kankou.or.jp/image/rendering/attraction_image/3374/trim.900/3/2?v=717903bb08cac519ec1bc40c9330528ee9fa8978,37.9264925,139.4681499,村上・新発田エリア,スキー・スノーアクティビティ,情報なし,情報なし,情報がありません,"2023年12月21日（木曜日）オープン予定_x000D_
2024年3月24日（日曜日）クローズ予定",情報がありません,スキー・スノーアクティビティ
206,https://niigata-kankou.or.jp/spot/10715,薬師スキー場,https://niigata-kankou.or.jp/image/rendering/attraction_image/3360/trim.900/3/2?v=55cddf77a78e52aed9ff78f0e7ca60b77e095c2a,37.23329862,138.9935262,湯沢・魚沼エリア,スキー・スノーアクティビティ,情報なし,"スキー場, 日帰り温泉隣接, ファミリー向け",情報がありません,"2023年12月23日（土曜日） オープン予定_x000D_
2024年3月17日（日曜日）クローズ予定",休場日の場合でも、イベント利用の要望などあれば、特別料金にて貸切営業も可能ですのでお問い合わせ下さい。,スキー・スノーアクティビティ
207,https://niigata-kankou.or.jp/spot/10694,舞子スノーリゾート,https://niigata-kankou.or.jp/image/rendering/attraction_image/14098/trim.900/3/2?v=347fbf13f0f11fcad2646012e95a1c000c34a32a,36.987551,138.832093,湯沢・魚沼エリア,スキー・スノーアクティビティ,"カード対応可, ユニバーサルデザイン情報有, 託児所有, おむつ交換場所有, 授乳室有",情報なし,情報がありません,"2023年12月20日（水曜日）オープン予定　_x000D_
2024年3月31日（日曜日）クローズ予定",情報がありません,スキー・スノーアクティビティ
210,https://niigata-kankou.or.jp/spot/10676,妙高杉ノ原スキー場,https://niigata-kankou.or.jp/image/rendering/attraction_image/7899/trim.900/3/2?v=1e69d9e0342597235c0b8d26c2cf8ae314dab586,36.85568448,138.1548941,妙高・上越・糸魚川エリア,スキー・スノーアクティビティ,情報なし,情報なし,情報がありません,"2023年12月24日（土曜日）オープン予定_x000D_
2024年3月26日（日曜日）クローズ予定",情報がありません,スキー・スノーアクティビティ
211,https://niigata-kankou.or.jp/spot/10677,赤倉観光リゾートスキー場,https://niigata-kankou.or.jp/image/rendering/attraction_image/8828/trim.900/3/2?v=84924427ac7dc331382d6fd6f604892fa1a6e572,36.886932,138.177795,妙高・上越・糸魚川エリア,スキー・スノーアクティビティ,託児所有,情報なし,情報がありません,"2023年12月16日（土曜日） オープン予定_x000D_
2024年3月31日（日曜日）クローズ予定",情報がありません,スキー・スノーアクティビティ
218,https://niigata-kankou.or.jp/spot/7401,サントピアワールド,https://niigata-kankou.or.jp/image/rendering/attraction_image/139346/trim.900/3/2?v=41e909b274c02a5d5a9bd9df898dfac25d129d1f,37.76476036,139.2531858,新潟・阿賀エリア,"遊び,観光施設",情報なし,遊園地,情報がありません,情報がありません,情報がありません,観光施設
221,https://niigata-kankou.or.jp/spot/11394,大沢山温泉,https://niigata-kankou.or.jp/image/rendering/attraction_image/84573/trim.900/3/2?v=b767cc1b86a3230d4845965cbc69323b4638bdbe,37.0214399,138.804155,湯沢・魚沼エリア,温泉地,情報なし,情報なし,情報がありません,情報がありません,"●泉質：ナトリウム-塩化物炭酸水素泉(アルカリ性低張性温泉)_x000D_
●適応症：きりきず、やけど、慢性皮膚炎病　ほか_x000D_
●泉温：28度",温泉・サウナ
224,https://niigata-kankou.or.jp/spot/10683,湯沢中里スノーリゾート,https://niigata-kankou.or.jp/image/rendering/attraction_image/3321/trim.900/3/2?v=1d727a436cd16d63d6ecc861166293389f60288a,36.91428365,138.8494696,湯沢・魚沼エリア,スキー・スノーアクティビティ,"カード対応可, おむつ交換場所有, 授乳室有, 夫婦, 女性, ファミリー",情報なし,情報がありません,"2023年12月21日（木曜日） オープン予定_x000D_
2024年3月31日（日曜日）クローズ予定",情報がありません,スキー・スノーアクティビティ
229,https://niigata-kankou.or.jp/spot/8891,トキの森公園,https://niigata-kankou.or.jp/image/rendering/attraction_image/105475/trim.900/3/2?v=c2b95a273b2804f226ed243b70bc57aac2809ec2,38.0371102,138.4212923,佐渡エリア,"動植物園・水族館, 絶景・景勝地・天然記念物",情報なし,情報なし,情報がありません,情報がありません,情報がありません,動植物園・水族館
231,https://niigata-kankou.or.jp/spot/8366,越後ゆきくら館,https://niigata-kankou.or.jp/image/rendering/attraction_image/18610/trim.900/3/2?v=6ffd7cdb5a8b27e1edf724651491bd8654739072,37.32388071,139.0181748,湯沢・魚沼エリア,酒蔵見学,情報なし,"地酒, 雪室, 雪中貯蔵, 試飲, 酒蔵見学, 日本酒, 酒",情報がありません,情報がありません,"●銘柄：玉風味、越乃雪蔵、越乃玉梅、ゆきくら、さむらい46等_x000D_
●試飲有り、試食有り_x000D_
●申込み：いつでも可_x000D_
●展示、売店有り",酒蔵見学
236,https://niigata-kankou.or.jp/spot/10719,古志高原スキー場,https://niigata-kankou.or.jp/image/rendering/attraction_image/153463/trim.900/3/2?v=28172087f8e0d49ce11b4ad372e32320b42b641a,37.31824,138.887347,長岡・柏崎エリア,スキー・スノーアクティビティ,情報なし,情報なし,情報がありません,"2023年12月23日（土曜日） オープン予定_x000D_
2024年3月20日（水曜日）クローズ予定","★★イベント★★_x000D_
『毎月第3日曜日　スキーこどもの日』※小学生までのお子様は、リフトが無料_x000D_
『毎週水曜日　レディースデー』※リフト一日券が半額_x000D_
『毎週木曜日　シニアデー（60歳以上）』※リフト一日券が半額_x000D_
『大人1人・小学生以下1人の親子』※リフト12回券・1日券割引（通常3,500円を3,000円にて）",スキー・スノーアクティビティ
